01.12 - Топливо: 53.44 | Банк: 3519 | ЕГКС: 648
02.12 - Топливо: 57.28 | Банк: 3162 | ЕГКС: 984
03.12 - Топливо: 76.80 | Банк: 3502 | ЕГКС: 744
04.12 - Топливо: 63.68 | Банк: 3094 | ЕГКС: 840
05.12 - Топливо: 77.44 | Банк: 4403 | ЕГКС: 720
06.12 - Топливо: 0.00 | Банк: 0 | ЕГКС: 0
07.12 - Топливо: 0.00 | Банк: 0 | ЕГКС: 0
08.12 - Топливо: 56.00 | Банк: 3689 | ЕГКС: 792
09.12 - Топливо: 58.24 | Банк: 3672 | ЕГКС: 480
10.12 - Топливо: 0.00 | Банк: 0 | ЕГКС: 0
11.12 - Топливо: 56.00 | Банк: 4148 | ЕГКС: 888
12.12 - Топливо: 67.84 | Банк: 3944 | ЕГКС: 768
13.12 - Топливо: 0.00 | Банк: 0 | ЕГКС: 0
14.12 - Топливо: 0.00 | Банк: 0 | ЕГКС: 0
15.12 - Топливо: 60.16 | Банк: 3910 | ЕГКС: 864
16.12 - Топливо: 68.48 | Банк: 3247 | ЕГКС: 696
17.12 - Топливо: 64.64 | Банк: 3400 | ЕГКС: 648
18.12 - Топливо: 55.36 | Банк: 3213 | ЕГКС: 504
19.12 - Топливо: 67.84 | Банк: 3638 | ЕГКС: 888
20.12 - Топливо: 0.00 | Банк: 0 | ЕГКС: 0
21.12 - Топливо: 0.00 | Банк: 0 | ЕГКС: 0
22.12 - Топливо: 66.24 | Банк: 3111 | ЕГКС: 672
23.12 - Топливо: 67.52 | Банк: 4029 | ЕГКС: 648
24.12 - Топливо: 63.36 | Банк: 4420 | ЕГКС: 720
25.12 - Топливо: 60.48 | Банк: 4114 | ЕГКС: 792
26.12 - Топливо: 72.64 | Банк: 4386 | ЕГКС: 864
27.12 - Топливо: 0.00 | Банк: 0 | ЕГКС: 0
28.12 - Топливо: 42.24 | Банк: 2941 | ЕГКС: 384
29.12 - Топливо: 68.80 | Банк: 4352 | ЕГКС: 744
30.12 - Топливо: 67.52 | Банк: 2618 | ЕГКС: 600
31.12 - Топливо: 0.00 | Банк: 0 | ЕГКС: 0
